"AGE","AGE_ADJUSTED_RATE","CRUDE_RATE","EVENT_TYPE","RACE","SEX","SITE","YEAR","COUNT","POPULATION"
"0-14",3.5,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","1999",2059,58588724
"0-14",3.7,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2000",2146,58914904
"0-14",3.8,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2001",2255,59815030
"0-14",3.6,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2002",2172,59931314
"0-14",3.6,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2003",2150,60628650
"0-14",3.9,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2004",2335,60651802
"0-14",3.7,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2005",2260,60519046
"0-14",3.9,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2006",2350,60516709
"0-14",4,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2007",2428,60681615
"0-14",4.1,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2008",2507,60907384
"0-14",4.1,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2009",2518,61087581
"0-14",4.1,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2010",2512,61200686
"0-14",4.2,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2011",2566,61168631
"0-14",4,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2012",2447,61113314
"0-14",3.8,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2013",2302,61067866
"0-14",3.9,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2013-2017",11971,305059222
"0-14",3.9,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2014",2365,61053482
"0-14",4.1,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2015",2506,60999735
"0-14",4.1,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2016",2496,60975441
"0-14",3.8,NA,"Incidence","All Races","Male and Female","Acute Lymphocytic","2017",2302,60962698
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","1999",397,58588724
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2000",349,58914904
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2001",398,59815030
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2002",407,59931314
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2003",397,60628650
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2004",423,60651802
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2005",390,60519046
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2006",421,60516709
