"County","Population","AgeAdjustedCaseRate","CaseCount","AgeAdjustedDeathRate","DeathCount","Civilian_labor_force_2017","Employed_2017","Unemployed_2017","Unemployment_rate_2017","Median_Household_Income_2019","Med_HH_Income_Percent_of_State_Total_2019"
"Adams County, WA",96618,342.4,293,135.7,112,8885,8369,516,5.8,53535,68.0466232299805
"Alameda County, CA",8131992,391.5,34143,134.9,11470,839215,808382,30833,3.7,107589,133.778900146484
"Alpine County, CA",5474,314.4,26,NA,NA,548,515,33,6,58112,72.2579345703125
"Amador County, CA",186389,437.6,1409,148.9,509,14710,13980,730,5,62640,77.8881683349609
"Asotin County, WA",111205,327.5,560,145.3,266,10233,9799,434,4.2,54776,69.6240158081055
"Baker County, OR",79930,332.1,441,166.9,235,7007,6624,383,5.5,48530,72.4815139770508
"Benton County, OR",442969,379.2,1853,133.5,659,48283,46719,1564,3.2,69148,103.275337219238
"Benton County, WA",953318,419.5,4352,152.6,1558,96881,91463,5418,5.6,72847,92.5934906005859
"Butte County, CA",1125782,472.6,6708,167.6,2469,102114,96209,5905,5.8,58394,72.6085815429688
"Calaveras County, CA",225235,413.7,1598,152.3,622,21040,20046,994,4.7,68248,84.8612976074219
"Chelan County, WA",375511,450.5,2188,150.3,762,44246,42072,2174,4.9,59838,76.0581665039062
"Clackamas County, OR",2000273,463,11680,150.6,3785,217437,209351,8086,3.7,80539,120.28825378418
"Clallam County, WA",367752,498.5,3238,163.9,1155,27749,25834,1915,6.9,57571,73.1766510009766
"Clark County, WA",2286450,417.8,10682,164,4043,227605,215883,11722,5.2,80407,102.202758789062
"Clatsop County, OR",190150,466.9,1290,176.9,500,19218,18429,789,4.1,59339,88.6251983642578
"Columbia County, OR",251145,442.3,1507,172.4,578,24250,23006,1244,5.1,72285,107.960571289062
"Columbia County, WA",19948,469.8,157,175.2,68,1773,1672,101,5.7,56338,71.6094284057617
"Colusa County, CA",106960,389.2,445,136.4,157,10820,9282,1538,14.2,59048,73.4217834472656
"Contra Costa County, CA",5609779,423.3,27557,139.3,9043,558591,537156,21435,3.8,106555,132.493194580078
"Coos County, OR",314529,443.1,2285,195.3,1069,26459,25007,1452,5.5,49504,73.9362258911133
"Cowlitz County, WA",518058,451.4,3083,181.7,1288,45695,42881,2814,6.2,57316,72.8525314331055
"Crook County, OR",108520,502.4,875,175.3,312,9418,8821,597,6.3,58739,87.7290725708008
"Curry County, OR",111948,391.2,857,184.1,448,8966,8422,544,6.1,51267,76.5693359375
"Del Norte County, CA",137111,402.5,699,164.7,290,9707,9083,624,6.4,48979,60.9017333984375
"Deschutes County, OR",876500,450.8,5322,139.2,1609,93241,89287,3954,4.2,71880,107.355690002441
"Douglas County, OR",537936,412.5,3568,185.6,1734,46214,43747,2467,5.3,48940,73.0938720703125
"Douglas County, WA",203347,453.6,1132,139.1,343,21094,19882,1212,5.7,63086,80.1865921020508
"El Dorado County, CA",924122,436.5,5726,139.6,1827,89824,85902,3922,4.4,86202,107.185752868652
