"","FIPS","STATE","COUNTY","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POVERTY_PCT"
"1","01001","AL","Autauga County",178.3,556,"Mortality",13.4
"2","01001","AL","Autauga County",490.1,1538,"Incidence",13.4
"3","01003","AL","Baldwin County",165.3,2331,"Mortality",10.1
"4","01003","AL","Baldwin County",452.4,6287,"Incidence",10.1
"5","01005","AL","Barbour County",423.4,728,"Incidence",33.4
"6","01005","AL","Barbour County",179.2,301,"Mortality",33.4
"7","01007","AL","Bibb County",189,251,"Mortality",20.2
"8","01007","AL","Bibb County",467.3,633,"Incidence",20.2
"9","01009","AL","Blount County",432,1585,"Incidence",12.8
"10","01009","AL","Blount County",175.3,653,"Mortality",12.8
"11","01011","AL","Bullock County",227.7,143,"Mortality",34.4
"12","01011","AL","Bullock County",487,302,"Incidence",34.4
"13","01013","AL","Butler County",428.7,579,"Incidence",21.3
"14","01013","AL","Butler County",170.3,244,"Mortality",21.3
"15","01015","AL","Calhoun County",464.3,3351,"Incidence",17.7
"16","01015","AL","Calhoun County",179.6,1309,"Mortality",17.7
"17","01017","AL","Chambers County",521.1,1203,"Incidence",18.2
"18","01017","AL","Chambers County",190.9,452,"Mortality",18.2
"19","01019","AL","Cherokee County",410.6,786,"Incidence",17.2
"20","01019","AL","Cherokee County",201.8,390,"Mortality",17.2
"21","01021","AL","Chilton County",415.4,1101,"Incidence",16.8
"22","01021","AL","Chilton County",180.4,476,"Mortality",16.8
"23","01023","AL","Choctaw County",443.2,433,"Incidence",23.7
"24","01023","AL","Choctaw County",145.7,149,"Mortality",23.7
"25","01025","AL","Clarke County",474.3,781,"Incidence",23.3
"26","01025","AL","Clarke County",160,274,"Mortality",23.3
"27","01027","AL","Clay County",161.2,158,"Mortality",18.1
"28","01027","AL","Clay County",468.5,438,"Incidence",18.1
"29","01029","AL","Cleburne County",457.4,466,"Incidence",16.1
"30","01029","AL","Cleburne County",168.9,179,"Mortality",16.1
"31","01031","AL","Coffee County",423.2,1324,"Incidence",15.5
"32","01031","AL","Coffee County",168,529,"Mortality",15.5
"33","01033","AL","Colbert County",173.5,681,"Mortality",15.4
"34","01033","AL","Colbert County",437.8,1626,"Incidence",15.4
"35","01035","AL","Conecuh County",457.5,414,"Incidence",23.7
"36","01035","AL","Conecuh County",172.3,168,"Mortality",23.7
"37","01037","AL","Coosa County",169.2,147,"Mortality",17.4
"38","01037","AL","Coosa County",345.7,286,"Incidence",17.4
"39","01039","AL","Covington County",482.2,1250,"Incidence",17.7
"40","01039","AL","Covington County",192.8,535,"Mortality",17.7
"41","01041","AL","Crenshaw County",211.1,198,"Mortality",19.9
"42","01041","AL","Crenshaw County",512.5,476,"Incidence",19.9
"43","01043","AL","Cullman County",433.3,2299,"Incidence",13.8
"44","01043","AL","Cullman County",178.2,964,"Mortality",13.8
"45","01045","AL","Dale County",179.2,540,"Mortality",17.7
"46","01045","AL","Dale County",458.8,1369,"Incidence",17.7
"47","01047","AL","Dallas County",507.7,1280,"Incidence",27.9
"48","01047","AL","Dallas County",209.8,531,"Mortality",27.9
