Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'Oregon','Baker County','All Types of Cancer','2013-2017','Male and Female','332.1','441','79930'
'Oregon','Wallowa County','All Types of Cancer','2013-2017','Male and Female','347.0','216','34306'
'Oregon','Malheur County','All Types of Cancer','2013-2017','Male and Female','353.9','641','152083'
'Oregon','Harney County','All Types of Cancer','2013-2017','Male and Female','348.0','195','35969'
'Oregon','Grant County','All Types of Cancer','2013-2017','Male and Female','359.0','218','36008'
'Oregon','Union County','All Types of Cancer','2013-2017','Male and Female','439.1','745','129204'
'Oregon','Morrow County','All Types of Cancer','2013-2017','Male and Female','426.2','283','55909'
'Oregon','Benton County','All Types of Cancer','2013-2017','Male and Female','379.2','1853','442969'
'Oregon','Washington County','All Types of Cancer','2013-2017','Male and Female','421.2','12295','2866815'
'Oregon','Polk County','All Types of Cancer','2013-2017','Male and Female','439.6','2130','398467'
'Oregon','Umatilla County','All Types of Cancer','2013-2017','Male and Female','434.8','1887','383867'
'Oregon','Wasco County','All Types of Cancer','2013-2017','Male and Female','435.5','787','128155'
'Oregon','Marion County','All Types of Cancer','2013-2017','Male and Female','453.7','8484','1652473'
'Oregon','Sherman County','All Types of Cancer','2013-2017','Male and Female','433.6','63','8578'
'Oregon','Tillamook County','All Types of Cancer','2013-2017','Male and Female','398.0','840','128940'
'Oregon','Columbia County','All Types of Cancer','2013-2017','Male and Female','442.3','1507','251145'
'Oregon','Lake County','All Types of Cancer','2013-2017','Male and Female','393.1','256','39135'
'Oregon','Douglas County','All Types of Cancer','2013-2017','Male and Female','412.5','3568','537936'
'Oregon','Gilliam County','All Types of Cancer','2013-2017','Male and Female','443.0','72','9463'
'Oregon','Josephine County','All Types of Cancer','2013-2017','Male and Female','446.6','3116','423133'
'Oregon','Lane County','All Types of Cancer','2013-2017','Male and Female','389.9','9231','1820307'
'Oregon','Klamath County','All Types of Cancer','2013-2017','Male and Female','462.7','2105','329577'
'Oregon','Deschutes County','All Types of Cancer','2013-2017','Male and Female','450.8','5322','876500'
'Oregon','Coos County','All Types of Cancer','2013-2017','Male and Female','443.1','2285','314529'
'Oregon','Clatsop County','All Types of Cancer','2013-2017','Male and Female','466.9','1290','190150'
'Oregon','Crook County','All Types of Cancer','2013-2017','Male and Female','502.4','875','108520'
'Oregon','Jefferson County','All Types of Cancer','2013-2017','Male and Female','446.2','655','113395'
'Oregon','Clackamas County','All Types of Cancer','2013-2017','Male and Female','463.0','11680','2000273'
'Oregon','Lincoln County','All Types of Cancer','2013-2017','Male and Female','422.8','1734','236338'
'Oregon','Hood River County','All Types of Cancer','2013-2017','Male and Female','414.7','543','114823'
'Oregon','Curry County','All Types of Cancer','2013-2017','Male and Female','391.2','857','111948'
'Oregon','Multnomah County','All Types of Cancer','2013-2017','Male and Female','458.0','18716','3948005'
'Oregon','Linn County','All Types of Cancer','2013-2017','Male and Female','433.7','3443','605430'
'Oregon','Wheeler County','All Types of Cancer','2013-2017','Male and Female','494.1','69','6729'
'Oregon','Yamhill County','All Types of Cancer','2013-2017','Male and Female','447.7','2773','511974'
'Oregon','Jackson County','All Types of Cancer','2013-2017','Male and Female','430.9','6578','1058945'
