"Stabr","Area_name","PCTPOVALL_2019"
"US","United States",12.3
"AL","Alabama",15.6
"AL","Autauga County",12.1
"AL","Baldwin County",10.1
"AL","Barbour County",27.1
"AL","Bibb County",20.3
"AL","Blount County",16.3
"AL","Bullock County",30
"AL","Butler County",21.6
"AL","Calhoun County",17.2
"AL","Chambers County",19.6
"AL","Cherokee County",15.9
"AL","Chilton County",16
"AL","Choctaw County",22.6
"AL","Clarke County",18.4
"AL","Clay County",16.6
"AL","Cleburne County",13.3
"AL","Coffee County",15
"AL","Colbert County",14.6
"AL","Conecuh County",22.2
"AL","Coosa County",17.1
"AL","Covington County",17.2
"AL","Crenshaw County",16.8
"AL","Cullman County",12.2
"AL","Dale County",18.1
"AL","Dallas County",26
"AL","DeKalb County",18.2
"AL","Elmore County",11.4
"AL","Escambia County",20.5
"AL","Etowah County",18.8
"AL","Fayette County",17
"AL","Franklin County",16.1
"AL","Geneva County",16.1
"AL","Greene County",31.7
"AL","Hale County",20.5
"AL","Henry County",17.2
"AL","Houston County",19.4
"AL","Jackson County",14.7
"AL","Jefferson County",16.2
"AL","Lamar County",15.3
"AL","Lauderdale County",15.7
"AL","Lawrence County",17.7
"AL","Lee County",15.5
"AL","Limestone County",12
"AL","Lowndes County",26.6
"AL","Macon County",29.3
"AL","Madison County",11.5
"AL","Marengo County",24.8
"AL","Marion County",16.9
"AL","Marshall County",15.7
"AL","Mobile County",17.7
"AL","Monroe County",23.3
"AL","Montgomery County",15.8
"AL","Morgan County",13.7
"AL","Perry County",33.9
"AL","Pickens County",24.3
"AL","Pike County",21.8
"AL","Randolph County",17.5
"AL","Russell County",18.9
"AL","St. Clair County",11.2
"AL","Shelby County",6.2
"AL","Sumter County",36.4
"AL","Talladega County",17.4
"AL","Tallapoosa County",16
"AL","Tuscaloosa County",16.2
"AL","Walker County",17.3
"AL","Washington County",18.6
"AL","Wilcox County",32.5
"AL","Winston County",16.7
"AK","Alaska",10.2
"AK","Aleutians East Borough",14.8
"AK","Aleutians West Census Area",7.6
"AK","Anchorage Borough",9.5
"AK","Bethel Census Area",23.5
"AK","Bristol Bay Borough",9.8
"AK","Denali Borough",6.6
"AK","Dillingham Census Area",18.1
"AK","Fairbanks North Star Borough",7.2
"AK","Haines Borough",9.8
"AK","Hoonah-Angoon Census Area",15.7
"AK","Juneau Borough",6.3
"AK","Kenai Peninsula Borough",10.4
"AK","Ketchikan Gateway Borough",9.4
"AK","Kodiak Island Borough",7.1
"AK","Kusilvak Census Area",26.8
"AK","Lake and Peninsula Borough",17.4
"AK","Matanuska-Susitna Borough",9.6
"AK","Nome Census Area",20.7
"AK","North Slope Borough",11.4
"AK","Northwest Arctic Borough",24
"AK","Petersburg Borough",6.7
"AK","Prince of Wales-Hyder Census Area",17.6
"AK","Sitka Borough",8.1
"AK","Skagway Municipality",4
"AK","Southeast Fairbanks Census Area",12
"AK","Valdez-Cordova Census Area",8.6
"AK","Wrangell City and Borough",9.7
"AK","Yakutat Borough",14.7
"AK","Yukon-Koyukuk Census Area",24.4
"AZ","Arizona",13.5
"AZ","Apache County",33.4
"AZ","Cochise County",16.6
"AZ","Coconino County",15.9
"AZ","Gila County",21.1
"AZ","Graham County",20.1
"AZ","Greenlee County",9.3
"AZ","La Paz County",22.1
"AZ","Maricopa County",12.2
"AZ","Mohave County",16
"AZ","Navajo County",25.2
"AZ","Pima County",14
"AZ","Pinal County",12.1
"AZ","Santa Cruz County",18.8
"AZ","Yavapai County",12
"AZ","Yuma County",20.4
"AR","Arkansas",16
"AR","Arkansas County",15.8
"AR","Ashley County",18.5
"AR","Baxter County",12.7
"AR","Benton County",8.9
"AR","Boone County",15.1
"AR","Bradley County",22.9
"AR","Calhoun County",15.4
