"Area","CancerType","Year","Sex","Race","AgeAdjustedRate","CaseCount","Population"
"Wyoming","All Types of Cancer",2017,"Male and Female","All Races","411.7","2875",578934
"Nevada","All Types of Cancer",2017,"Male and Female","All Races","405.4","14105",2972405
"Rhode Island","All Types of Cancer",2017,"Male and Female","All Races","434.3","5841",1056486
"Colorado","All Types of Cancer",2017,"Male and Female","All Races","394.3","24226",5615902
"Georgia","All Types of Cancer",2017,"Male and Female","All Races","461.3","52690",10413055
"Montana","All Types of Cancer",2017,"Male and Female","All Races","466.9","6426",1053090
"Texas","All Types of Cancer",2017,"Male and Female","All Races","400.1","114402",28322717
"Maryland","All Types of Cancer",2017,"Male and Female","All Races","442.6","31735",6024891
"Idaho","All Types of Cancer",2017,"Male and Female","All Races","436.3","8624",1718904
"New Mexico","All Types of Cancer",2017,"Male and Female","All Races","361.1","9261",2093395
"Utah","All Types of Cancer",2017,"Male and Female","All Races","397.1","10951",3103118
"California","All Types of Cancer",2017,"Male and Female","All Races","392.4","170784",39399349
"Alaska","All Types of Cancer",2017,"Male and Female","All Races","404.5","2917",739786
"Oregon","All Types of Cancer",2017,"Male and Female","All Races","412.2","21528",4146592
"Virginia","All Types of Cancer",2017,"Male and Female","All Races","400","39910",8465207
"District of Columbia","All Types of Cancer",2017,"Male and Female","All Races","429.5","2907",695691
"Missouri","All Types of Cancer",2017,"Male and Female","All Races","452.7","34379",6108612
"Mississippi","All Types of Cancer",2017,"Male and Female","All Races","465.3","16585",2989663
"West Virginia","All Types of Cancer",2017,"Male and Female","All Races","482.4","12143",1817048
"Tennessee","All Types of Cancer",2017,"Male and Female","All Races","457.8","37623",6708794
"Minnesota","All Types of Cancer",2017,"Male and Female","All Races","472.3","31249",5568155
"Oklahoma","All Types of Cancer",2017,"Male and Female","All Races","432.3","19871",3932640
"Florida","All Types of Cancer",2017,"Male and Female","All Races","426.1","124804",20976812
"Arkansas","All Types of Cancer",2017,"Male and Female","All Races","471.4","17474",3002997
"Kansas","All Types of Cancer",2017,"Male and Female","All Races","450.6","15331",2910689
"North Carolina","All Types of Cancer",2017,"Male and Female","All Races","458.2","57037",10270800
"South Dakota","All Types of Cancer",2017,"Male and Female","All Races","449.6","4739",873286
"Hawaii","All Types of Cancer",2017,"Male and Female","All Races","418.9","7561",1424203
"Pennsylvania","All Types of Cancer",2017,"Male and Female","All Races","471.2","79340",12790447
"Kentucky","All Types of Cancer",2017,"Male and Female","All Races","510.2","27714",4453874
"Maine","All Types of Cancer",2017,"Male and Female","All Races","471.6","9061",1335063
"South Carolina","All Types of Cancer",2017,"Male and Female","All Races","434.4","27762",5021219
"Alabama","All Types of Cancer",2017,"Male and Female","All Races","446.9","27137",4875120
"Vermont","All Types of Cancer",2017,"Male and Female","All Races","454.4","3901",624525
"Washington","All Types of Cancer",2017,"Male and Female","All Races","435.1","37522",7425432
"Ohio","All Types of Cancer",2017,"Male and Female","All Races","458.9","67268",11664129
"North Dakota","All Types of Cancer",2017,"Male and Female","All Races","455.5","3878",755176
"New Jersey","All Types of Cancer",2017,"Male and Female","All Races","482.4","52841",8888543
"Delaware","All Types of Cancer",2017,"Male and Female","All Races","445.7","5617",957078
"New Hampshire","All Types of Cancer",2017,"Male and Female","All Races","473.6","8529",1349767
"Nebraska","All Types of Cancer",2017,"Male and Female","All Races","471.3","10491",1917575
"New York","All Types of Cancer",2017,"Male and Female","All Races","480.6","115007",19590719
"Iowa","All Types of Cancer",2017,"Male and Female","All Races","477.3","18600",3143637
"Illinois","All Types of Cancer",2017,"Male and Female","All Races","458.5","69222",12786196
"Wisconsin","All Types of Cancer",2017,"Male and Female","All Races","448.3","32651",5792051
"Indiana","All Types of Cancer",2017,"Male and Female","All Races","434.8","34318",6660082
"Louisiana","All Types of Cancer",2017,"Male and Female","All Races","478.6","26125",4670818
"Arizona","All Types of Cancer",2017,"Male and Female","All Races","374.9","32494",7048876
"Massachusetts","All Types of Cancer",2017,"Male and Female","All Races","444.7","37769",6863246
"Michigan","All Types of Cancer",2017,"Male and Female","All Races","435.4","54793",9976447
"Connecticut","All Types of Cancer",2017,"Male and Female","All Races","464.7","21297",3573880
"Wyoming","All Types of Cancer",2017,"Male","All Races","451.9","1582",295328
"Nevada","All Types of Cancer",2017,"Male","All Races","421.6","7143",1491290
"Rhode Island","All Types of Cancer",2017,"Male","All Races","452.3","2790",513556
"Colorado","All Types of Cancer",2017,"Male","All Races","405.5","11798",2826740
"Georgia","All Types of Cancer",2017,"Male","All Races","524.7","27290",5066288
"Montana","All Types of Cancer",2017,"Male","All Races","494.8","3384",530165
"Texas","All Types of Cancer",2017,"Male","All Races","443.6","58697",14071779
"Maryland","All Types of Cancer",2017,"Male","All Races","478.3","15607",2920753
"Idaho","All Types of Cancer",2017,"Male","All Races","469","4524",861051
"New Mexico","All Types of Cancer",2017,"Male","All Races","373.5","4576",1036310
