Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Idaho','All Types of Cancer','2017','Female','Asian/Pacific Islander','298.8','52','18969'
'Wyoming','All Types of Cancer','2017','Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','3853'
'Georgia','All Types of Cancer','2017','Female','Asian/Pacific Islander','268.1','590','244158'
'Montana','All Types of Cancer','2017','Female','Asian/Pacific Islander','Data Suppressed','20','6429'
'Texas','All Types of Cancer','2017','Female','Asian/Pacific Islander','244.9','1775','794899'
'New Mexico','All Types of Cancer','2017','Female','Asian/Pacific Islander','300.3','79','24064'
'Alaska','All Types of Cancer','2017','Female','Asian/Pacific Islander','256.9','81','32960'
'Oregon','All Types of Cancer','2017','Female','Asian/Pacific Islander','285.3','331','126436'
'Virginia','All Types of Cancer','2017','Female','Asian/Pacific Islander','208','667','328714'
'West Virginia','All Types of Cancer','2017','Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','9093'
'Nevada','All Types of Cancer','2017','Female','Asian/Pacific Islander','283.8','573','164961'
'Rhode Island','All Types of Cancer','2017','Female','Asian/Pacific Islander','290.2','48','22074'
'Colorado','All Types of Cancer','2017','Female','Asian/Pacific Islander','278.6','298','120137'
'Maryland','All Types of Cancer','2017','Female','Asian/Pacific Islander','278.4','673','225780'
'Washington','All Types of Cancer','2017','Female','Asian/Pacific Islander','300.6','1241','415395'
'Utah','All Types of Cancer','2017','Female','Asian/Pacific Islander','351.3','169','64630'
'California','All Types of Cancer','2017','Female','Asian/Pacific Islander','294.4','11774','3404111'
'Kansas','All Types of Cancer','2017','Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','51155'
'District of Columbia','All Types of Cancer','2017','Female','Asian/Pacific Islander','261.7','37','19380'
'Missouri','All Types of Cancer','2017','Female','Asian/Pacific Islander','247.1','165','77209'
'Mississippi','All Types of Cancer','2017','Female','Asian/Pacific Islander','337.3','58','18969'
'Delaware','All Types of Cancer','2017','Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','21188'
'Tennessee','All Types of Cancer','2017','Female','Asian/Pacific Islander','209.5','142','73696'
'Nebraska','All Types of Cancer','2017','Female','Asian/Pacific Islander','247.1','47','28433'
'Minnesota','All Types of Cancer','2017','Female','Asian/Pacific Islander','280.8','310','152991'
'Oklahoma','All Types of Cancer','2017','Female','Asian/Pacific Islander','356.2','159','55789'
'Arkansas','All Types of Cancer','2017','Female','Asian/Pacific Islander','366.2','93','32468'
'Iowa','All Types of Cancer','2017','Female','Asian/Pacific Islander','270.3','78','44508'
'Florida','All Types of Cancer','2017','Female','Asian/Pacific Islander','227.7','933','372343'
'Wisconsin','All Types of Cancer','2017','Female','Asian/Pacific Islander','264.1','172','94302'
'North Carolina','All Types of Cancer','2017','Female','Asian/Pacific Islander','254.9','372','178806'
'South Dakota','All Types of Cancer','2017','Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','8004'
'Pennsylvania','All Types of Cancer','2017','Female','Asian/Pacific Islander','290.1','661','254017'
'Hawaii','All Types of Cancer','2017','Female','Asian/Pacific Islander','395.4','2619','523609'
'Kentucky','All Types of Cancer','2017','Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','40977'
'Alabama','All Types of Cancer','2017','Female','Asian/Pacific Islander','223.8','84','43664'
'Maine','All Types of Cancer','2017','Female','Asian/Pacific Islander','197','20','10086'
'South Carolina','All Types of Cancer','2017','Female','Asian/Pacific Islander','268.1','126','51689'
'Louisiana','All Types of Cancer','2017','Female','Asian/Pacific Islander','252.3','114','47027'
'Vermont','All Types of Cancer','2017','Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','6891'
'Arizona','All Types of Cancer','2017','Female','Asian/Pacific Islander','221.7','336','156885'
'Ohio','All Types of Cancer','2017','Female','Asian/Pacific Islander','236.2','316','156565'
'North Dakota','All Types of Cancer','2017','Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','6881'
'New Jersey','All Types of Cancer','2017','Female','Asian/Pacific Islander','288.5','1399','466004'
'New Hampshire','All Types of Cancer','2017','Female','Asian/Pacific Islander','181.4','36','22222'
'New York','All Types of Cancer','2017','Female','Asian/Pacific Islander','340.8','3462','952548'
'Illinois','All Types of Cancer','2017','Female','Asian/Pacific Islander','279.5','1155','401887'
'Indiana','All Types of Cancer','2017','Female','Asian/Pacific Islander','206.7','131','86992'
'Massachusetts','All Types of Cancer','2017','Female','Asian/Pacific Islander','261.4','594','262246'
'Michigan','All Types of Cancer','2017','Female','Asian/Pacific Islander','240.1','371','179709'
'Connecticut','All Types of Cancer','2017','Female','Asian/Pacific Islander','251.1','209','93997'
