Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Nevada','All Types of Cancer','2017','Male','Asian/Pacific Islander','263.9','391','139216'
'Idaho','All Types of Cancer','2017','Male','Asian/Pacific Islander','272.5','30','15755'
'Colorado','All Types of Cancer','2017','Male','Asian/Pacific Islander','247.7','187','105039'
'Montana','All Types of Cancer','2017','Male','Asian/Pacific Islander','Data Suppressed','Data Suppressed','5270'
'Utah','All Types of Cancer','2017','Male','Asian/Pacific Islander','222.7','87','62128'
'California','All Types of Cancer','2017','Male','Asian/Pacific Islander','276.4','8817','3098536'
'Alaska','All Types of Cancer','2017','Male','Asian/Pacific Islander','307.7','60','30659'
'Oregon','All Types of Cancer','2017','Male','Asian/Pacific Islander','296.7','248','112077'
'West Virginia','All Types of Cancer','2017','Male','Asian/Pacific Islander','Data Suppressed','Data Suppressed','8268'
'Wyoming','All Types of Cancer','2017','Male','Asian/Pacific Islander','Data Suppressed','Data Suppressed','3431'
'Rhode Island','All Types of Cancer','2017','Male','Asian/Pacific Islander','230.7','33','20416'
'Georgia','All Types of Cancer','2017','Male','Asian/Pacific Islander','293.1','511','230603'
'Texas','All Types of Cancer','2017','Male','Asian/Pacific Islander','259.7','1498','756663'
'Maryland','All Types of Cancer','2017','Male','Asian/Pacific Islander','268.5','518','205945'
'Washington','All Types of Cancer','2017','Male','Asian/Pacific Islander','327.7','969','376239'
'New Mexico','All Types of Cancer','2017','Male','Asian/Pacific Islander','358.4','61','20472'
'Kansas','All Types of Cancer','2017','Male','Asian/Pacific Islander','Data Suppressed','Data Suppressed','49262'
'Virginia','All Types of Cancer','2017','Male','Asian/Pacific Islander','248.5','595','298620'
'District of Columbia','All Types of Cancer','2017','Male','Asian/Pacific Islander','277.5','22','14417'
'Missouri','All Types of Cancer','2017','Male','Asian/Pacific Islander','228.9','107','70874'
'Mississippi','All Types of Cancer','2017','Male','Asian/Pacific Islander','349.8','46','17209'
'Delaware','All Types of Cancer','2017','Male','Asian/Pacific Islander','Data Suppressed','Data Suppressed','20208'
'Tennessee','All Types of Cancer','2017','Male','Asian/Pacific Islander','225','113','67082'
'Nebraska','All Types of Cancer','2017','Male','Asian/Pacific Islander','376.7','47','27452'
'Minnesota','All Types of Cancer','2017','Male','Asian/Pacific Islander','320.3','255','146646'
'Oklahoma','All Types of Cancer','2017','Male','Asian/Pacific Islander','271.4','96','51259'
'Arkansas','All Types of Cancer','2017','Male','Asian/Pacific Islander','314.4','53','31329'
'Iowa','All Types of Cancer','2017','Male','Asian/Pacific Islander','299.7','65','45487'
'Florida','All Types of Cancer','2017','Male','Asian/Pacific Islander','207.4','647','323556'
'Wisconsin','All Types of Cancer','2017','Male','Asian/Pacific Islander','223.3','99','89638'
'North Carolina','All Types of Cancer','2017','Male','Asian/Pacific Islander','200','222','168939'
'South Dakota','All Types of Cancer','2017','Male','Asian/Pacific Islander','Data Suppressed','Data Suppressed','7719'
'Pennsylvania','All Types of Cancer','2017','Male','Asian/Pacific Islander','261.1','466','236577'
'Hawaii','All Types of Cancer','2017','Male','Asian/Pacific Islander','404.2','2294','490245'
'Kentucky','All Types of Cancer','2017','Male','Asian/Pacific Islander','Data Suppressed','Data Suppressed','38482'
'Maine','All Types of Cancer','2017','Male','Asian/Pacific Islander','317.3','17','8177'
'South Carolina','All Types of Cancer','2017','Male','Asian/Pacific Islander','206.7','69','46788'
'Louisiana','All Types of Cancer','2017','Male','Asian/Pacific Islander','265.6','105','46272'
'Alabama','All Types of Cancer','2017','Male','Asian/Pacific Islander','307.5','83','39110'
'Vermont','All Types of Cancer','2017','Male','Asian/Pacific Islander','Data Suppressed','Data Suppressed','5850'
'Arizona','All Types of Cancer','2017','Male','Asian/Pacific Islander','207.2','223','143460'
'Ohio','All Types of Cancer','2017','Male','Asian/Pacific Islander','218.9','227','146701'
'North Dakota','All Types of Cancer','2017','Male','Asian/Pacific Islander','Data Suppressed','Data Suppressed','7180'
'New Jersey','All Types of Cancer','2017','Male','Asian/Pacific Islander','278.1','1114','442781'
'New Hampshire','All Types of Cancer','2017','Male','Asian/Pacific Islander','195.6','24','20582'
'New York','All Types of Cancer','2017','Male','Asian/Pacific Islander','359.7','3097','871472'
'Illinois','All Types of Cancer','2017','Male','Asian/Pacific Islander','266.4','883','375452'
'Indiana','All Types of Cancer','2017','Male','Asian/Pacific Islander','186.9','93','86726'
'Massachusetts','All Types of Cancer','2017','Male','Asian/Pacific Islander','305.3','550','241103'
'Michigan','All Types of Cancer','2017','Male','Asian/Pacific Islander','245.9','304','174464'
'Connecticut','All Types of Cancer','2017','Male','Asian/Pacific Islander','209.2','147','88971'
