Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Nevada','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','246.3','121','57899'
'Colorado','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','207.5','168','106564'
'Georgia','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','110.4','55','59973'
'Texas','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','180.1','458','316433'
'New Mexico','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','271.8','546','240543'
'Utah','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','225.4','76','54127'
'California','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','155.1','935','772742'
'Oregon','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','297.2','229','91698'
'Virginia','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','126.5','55','51197'
'Mississippi','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','254.4','42','19244'
'West Virginia','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','4680'
'Wyoming','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','353.3','45','17322'
'Tennessee','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','75.5','22','33461'
'Rhode Island','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','197.2','16','12494'
'Montana','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','588.3','331','76956'
'Maryland','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','168.5','54','41521'
'Idaho','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','347.1','96','34797'
'Missouri','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','109.6','48','43958'
'Alaska','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','542.1','537','127766'
'Kansas','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','42425'
'District of Columbia','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','5123'
'Delaware','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','6959'
'Nebraska','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','411.2','65','31288'
'Minnesota','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','544.6','311','86967'
'Oklahoma','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','555.2','1910','421435'
'Arkansas','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','187.1','56','33169'
'Iowa','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','355.9','41','18471'
'Florida','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','145.1','170','116771'
'North Carolina','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','305.4','455','172539'
'South Dakota','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','469.3','240','84287'
'Pennsylvania','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','173.2','76','57119'
'Hawaii','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','701.2','40','6494'
'Kentucky','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','14008'
'Alabama','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','116.2','49','37281'
'Maine','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','400.7','47','11354'
'South Carolina','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','133.8','37','29901'
'Louisiana','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','155','57','39864'
'Vermont','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','3170'
'Arizona','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','248','757','401632'
'Washington','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','427.1','541','171004'
'Ohio','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','96.6','42','43211'
'North Dakota','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','633.9','167','44943'
'New Jersey','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','63063'
'New Hampshire','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','5113'
'New York','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','223829'
'Illinois','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','88170'
'Wisconsin','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','532','305','75185'
'Indiana','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','89.7','29','32155'
'Massachusetts','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','117.4','38','39955'
'Michigan','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','437.8','353','91379'
'Connecticut','All Types of Cancer','2017','Male and Female','American Indian/Alaska Native','125.1','26','23027'
