Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Nevada','All Types of Cancer','2017','Female','American Indian/Alaska Native','249.9','65','29192'
'Colorado','All Types of Cancer','2017','Female','American Indian/Alaska Native','215','91','52792'
'Georgia','All Types of Cancer','2017','Female','American Indian/Alaska Native','99.1','24','28841'
'Texas','All Types of Cancer','2017','Female','American Indian/Alaska Native','187.9','244','154402'
'New Mexico','All Types of Cancer','2017','Female','American Indian/Alaska Native','282','314','123429'
'Utah','All Types of Cancer','2017','Female','American Indian/Alaska Native','207','39','26858'
'California','All Types of Cancer','2017','Female','American Indian/Alaska Native','161.5','517','382764'
'Virginia','All Types of Cancer','2017','Female','American Indian/Alaska Native','98.9','21','24623'
'Mississippi','All Types of Cancer','2017','Female','American Indian/Alaska Native','259.8','23','9720'
'West Virginia','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','2186'
'Wyoming','All Types of Cancer','2017','Female','American Indian/Alaska Native','358.8','22','8563'
'Tennessee','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','15921'
'Rhode Island','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','6331'
'Montana','All Types of Cancer','2017','Female','American Indian/Alaska Native','569','170','38735'
'Maryland','All Types of Cancer','2017','Female','American Indian/Alaska Native','129.5','21','20362'
'Idaho','All Types of Cancer','2017','Female','American Indian/Alaska Native','365.5','53','17368'
'Alaska','All Types of Cancer','2017','Female','American Indian/Alaska Native','544.9','288','63099'
'Kansas','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','21112'
'Oregon','All Types of Cancer','2017','Female','American Indian/Alaska Native','356.2','142','45178'
'District of Columbia','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','2406'
'Missouri','All Types of Cancer','2017','Female','American Indian/Alaska Native','135.6','29','21779'
'Delaware','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','3503'
'Nebraska','All Types of Cancer','2017','Female','American Indian/Alaska Native','407.7','34','15630'
'Minnesota','All Types of Cancer','2017','Female','American Indian/Alaska Native','517.3','162','43547'
'Oklahoma','All Types of Cancer','2017','Female','American Indian/Alaska Native','526.5','979','213195'
'Arkansas','All Types of Cancer','2017','Female','American Indian/Alaska Native','154.4','24','16615'
'Iowa','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','26','9328'
'Florida','All Types of Cancer','2017','Female','American Indian/Alaska Native','131','75','56310'
'North Carolina','All Types of Cancer','2017','Female','American Indian/Alaska Native','297.8','235','87162'
'South Dakota','All Types of Cancer','2017','Female','American Indian/Alaska Native','445.6','126','42622'
'Pennsylvania','All Types of Cancer','2017','Female','American Indian/Alaska Native','151.5','38','28576'
'Hawaii','All Types of Cancer','2017','Female','American Indian/Alaska Native','630.3','16','2980'
'Kentucky','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','6753'
'Alabama','All Types of Cancer','2017','Female','American Indian/Alaska Native','102.7','20','18519'
'Maine','All Types of Cancer','2017','Female','American Indian/Alaska Native','358.9','21','5759'
'South Carolina','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','23','14500'
'Louisiana','All Types of Cancer','2017','Female','American Indian/Alaska Native','142.3','26','19961'
'Vermont','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','1545'
'Arizona','All Types of Cancer','2017','Female','American Indian/Alaska Native','249.7','418','203557'
'Washington','All Types of Cancer','2017','Female','American Indian/Alaska Native','453.9','304','85010'
'Ohio','All Types of Cancer','2017','Female','American Indian/Alaska Native','107.6','24','21737'
'North Dakota','All Types of Cancer','2017','Female','American Indian/Alaska Native','628.2','91','22814'
'New Jersey','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','30978'
'New Hampshire','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','2441'
'New York','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','112394'
'Illinois','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','43016'
'Wisconsin','All Types of Cancer','2017','Female','American Indian/Alaska Native','545.3','163','37574'
'Indiana','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','19','15948'
'Massachusetts','All Types of Cancer','2017','Female','American Indian/Alaska Native','129.5','22','19705'
'Michigan','All Types of Cancer','2017','Female','American Indian/Alaska Native','429.3','187','46507'
'Connecticut','All Types of Cancer','2017','Female','American Indian/Alaska Native','Data Suppressed','Data Suppressed','11379'
