Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Nevada','All Types of Cancer','2017','Male','American Indian/Alaska Native','249','56','28707'
'Colorado','All Types of Cancer','2017','Male','American Indian/Alaska Native','207.3','77','53772'
'Georgia','All Types of Cancer','2017','Male','American Indian/Alaska Native','122.9','31','31132'
'Texas','All Types of Cancer','2017','Male','American Indian/Alaska Native','173.9','214','162031'
'New Mexico','All Types of Cancer','2017','Male','American Indian/Alaska Native','269.2','232','117114'
'Utah','All Types of Cancer','2017','Male','American Indian/Alaska Native','239.8','37','27269'
'California','All Types of Cancer','2017','Male','American Indian/Alaska Native','149.2','418','389978'
'Oregon','All Types of Cancer','2017','Male','American Indian/Alaska Native','243.7','87','46520'
'Virginia','All Types of Cancer','2017','Male','American Indian/Alaska Native','154.7','34','26574'
'Mississippi','All Types of Cancer','2017','Male','American Indian/Alaska Native','270.8','19','9524'
'West Virginia','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','2494'
'Wyoming','All Types of Cancer','2017','Male','American Indian/Alaska Native','347.8','23','8759'
'Tennessee','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','17540'
'Rhode Island','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','6163'
'Montana','All Types of Cancer','2017','Male','American Indian/Alaska Native','617.6','161','38221'
'Maryland','All Types of Cancer','2017','Male','American Indian/Alaska Native','213.7','33','21159'
'Idaho','All Types of Cancer','2017','Male','American Indian/Alaska Native','327.2','43','17429'
'Missouri','All Types of Cancer','2017','Male','American Indian/Alaska Native','81.7','19','22179'
'Alaska','All Types of Cancer','2017','Male','American Indian/Alaska Native','553.2','249','64667'
'Kansas','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','21313'
'District of Columbia','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','2717'
'Delaware','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','3456'
'Nebraska','All Types of Cancer','2017','Male','American Indian/Alaska Native','404.1','31','15658'
'Minnesota','All Types of Cancer','2017','Male','American Indian/Alaska Native','579.4','149','43420'
'Oklahoma','All Types of Cancer','2017','Male','American Indian/Alaska Native','601.7','931','208240'
'Arkansas','All Types of Cancer','2017','Male','American Indian/Alaska Native','223.2','32','16554'
'Iowa','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','9143'
'Florida','All Types of Cancer','2017','Male','American Indian/Alaska Native','163.9','95','60461'
'North Carolina','All Types of Cancer','2017','Male','American Indian/Alaska Native','317.7','220','85377'
'South Dakota','All Types of Cancer','2017','Male','American Indian/Alaska Native','504.7','114','41665'
'Pennsylvania','All Types of Cancer','2017','Male','American Indian/Alaska Native','204.3','38','28543'
'Hawaii','All Types of Cancer','2017','Male','American Indian/Alaska Native','770.3','24','3514'
'Kentucky','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','7255'
'Alabama','All Types of Cancer','2017','Male','American Indian/Alaska Native','129.1','29','18762'
'Maine','All Types of Cancer','2017','Male','American Indian/Alaska Native','453.8','26','5595'
'South Carolina','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','15401'
'Louisiana','All Types of Cancer','2017','Male','American Indian/Alaska Native','171.9','31','19903'
'Vermont','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','1625'
'Arizona','All Types of Cancer','2017','Male','American Indian/Alaska Native','249.1','339','198075'
'Washington','All Types of Cancer','2017','Male','American Indian/Alaska Native','397.8','237','85994'
'Ohio','All Types of Cancer','2017','Male','American Indian/Alaska Native','82','18','21474'
'North Dakota','All Types of Cancer','2017','Male','American Indian/Alaska Native','635.5','76','22129'
'New Jersey','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','32085'
'New Hampshire','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','2672'
'New York','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','111435'
'Illinois','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','45154'
'Wisconsin','All Types of Cancer','2017','Male','American Indian/Alaska Native','526.9','142','37611'
'Indiana','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','16207'
'Massachusetts','All Types of Cancer','2017','Male','American Indian/Alaska Native','103.1','16','20250'
'Michigan','All Types of Cancer','2017','Male','American Indian/Alaska Native','449.4','166','44872'
'Connecticut','All Types of Cancer','2017','Male','American Indian/Alaska Native','Data Suppressed','Data Suppressed','11648'
