Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Wyoming','All Types of Cancer','2017','Male and Female','Black','Data Suppressed','Data Suppressed','10007'
'New Mexico','All Types of Cancer','2017','Male and Female','Black','267.4','144','63708'
'Alaska','All Types of Cancer','2017','Male and Female','Black','334.7','73','36398'
'Nevada','All Types of Cancer','2017','Male and Female','Black','379.7','1042','327516'
'Rhode Island','All Types of Cancer','2017','Male and Female','Black','339.7','264','97995'
'Colorado','All Types of Cancer','2017','Male and Female','Black','361.4','794','296017'
'Georgia','All Types of Cancer','2017','Male and Female','Black','461.8','14448','3442098'
'Montana','All Types of Cancer','2017','Male and Female','Black','405.1','17','10069'
'Texas','All Types of Cancer','2017','Male and Female','Black','423','13522','3723355'
'Maryland','All Types of Cancer','2017','Male and Female','Black','427.3','8565','1919108'
'Idaho','All Types of Cancer','2017','Male and Female','Black','360.1','28','21248'
'Utah','All Types of Cancer','2017','Male and Female','Black','355.7','92','55890'
'California','All Types of Cancer','2017','Male and Female','Black','384.7','10647','2834619'
'Oregon','All Types of Cancer','2017','Male and Female','Black','421.9','334','117252'
'Virginia','All Types of Cancer','2017','Male and Female','Black','418.6','7470','1757890'
'District of Columbia','All Types of Cancer','2017','Male and Female','Black','442.5','1709','337125'
'Missouri','All Types of Cancer','2017','Male and Female','Black','469.1','3351','768378'
'Mississippi','All Types of Cancer','2017','Male and Female','Black','473.1','5270','1145377'
'West Virginia','All Types of Cancer','2017','Male and Female','Black','397.7','299','74777'
'Tennessee','All Types of Cancer','2017','Male and Female','Black','451.1','5002','1188604'
'Minnesota','All Types of Cancer','2017','Male and Female','Black','463.6','1044','408369'
'Oklahoma','All Types of Cancer','2017','Male and Female','Black','394.8','1130','350613'
'Florida','All Types of Cancer','2017','Male and Female','Black','370.1','12656','3674436'
'Arkansas','All Types of Cancer','2017','Male and Female','Black','467.5','2186','487818'
'Kansas','All Types of Cancer','2017','Male and Female','Black','436.4','729','206547'
'North Carolina','All Types of Cancer','2017','Male and Female','Black','441.6','10697','2366357'
'South Dakota','All Types of Cancer','2017','Male and Female','Black','223.4','24','23768'
'Hawaii','All Types of Cancer','2017','Male and Female','Black','352','89','43251'
'Pennsylvania','All Types of Cancer','2017','Male and Female','Black','455.6','6812','1617787'
'Kentucky','All Types of Cancer','2017','Male and Female','Black','461.4','1659','400902'
'Maine','All Types of Cancer','2017','Male and Female','Black','338.9','48','25910'
'South Carolina','All Types of Cancer','2017','Male and Female','Black','420','6283','1408395'
'Alabama','All Types of Cancer','2017','Male and Female','Black','435.9','5947','1334075'
'Vermont','All Types of Cancer','2017','Male and Female','Black','Data Suppressed','Data Suppressed','10929'
'Arizona','All Types of Cancer','2017','Male and Female','Black','318.7','953','399158'
'Washington','All Types of Cancer','2017','Male and Female','Black','416.9','1130','390097'
'Ohio','All Types of Cancer','2017','Male and Female','Black','439','6729','1615089'
'North Dakota','All Types of Cancer','2017','Male and Female','Black','375','30','27056'
'New Jersey','All Types of Cancer','2017','Male and Female','Black','435.8','6017','1394738'
'Delaware','All Types of Cancer','2017','Male and Female','Black','435.6','981','228990'
'New Hampshire','All Types of Cancer','2017','Male and Female','Black','313.9','49','27014'
'Nebraska','All Types of Cancer','2017','Male and Female','Black','510.5','381','111208'
'New York','All Types of Cancer','2017','Male and Female','Black','428.1','16194','3634378'
'Iowa','All Types of Cancer','2017','Male and Female','Black','505.8','386','142314'
'Illinois','All Types of Cancer','2017','Male and Female','Black','467.4','9217','1946635'
'Wisconsin','All Types of Cancer','2017','Male and Female','Black','507.5','1562','423734'
'Indiana','All Types of Cancer','2017','Male and Female','Black','403.7','2383','702930'
'Louisiana','All Types of Cancer','2017','Male and Female','Black','483.6','7339','1557486'
'Massachusetts','All Types of Cancer','2017','Male and Female','Black','384','2132','654566'
'Michigan','All Types of Cancer','2017','Male and Female','Black','436.1','6424','1493472'
'Connecticut','All Types of Cancer','2017','Male and Female','Black','427.2','1743','453203'
