Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Idaho','All Types of Cancer','2017','Female','Black','Data Suppressed','Data Suppressed','9517'
'Wyoming','All Types of Cancer','2017','Female','Black','Data Suppressed','Data Suppressed','4246'
'Montana','All Types of Cancer','2017','Female','Black','Data Suppressed','Data Suppressed','4284'
'New Mexico','All Types of Cancer','2017','Female','Black','185.9','48','29077'
'Utah','All Types of Cancer','2017','Female','Black','285.5','34','24651'
'Alaska','All Types of Cancer','2017','Female','Black','284.8','31','16245'
'Nevada','All Types of Cancer','2017','Female','Black','361.9','533','164885'
'Rhode Island','All Types of Cancer','2017','Female','Black','325.5','133','49392'
'Colorado','All Types of Cancer','2017','Female','Black','343.5','380','139163'
'Georgia','All Types of Cancer','2017','Female','Black','398','7089','1830451'
'Texas','All Types of Cancer','2017','Female','Black','371.3','6592','1916968'
'Maryland','All Types of Cancer','2017','Female','Black','390.9','4450','1021185'
'California','All Types of Cancer','2017','Female','Black','356.2','5307','1427454'
'Oregon','All Types of Cancer','2017','Female','Black','341.3','129','54728'
'Virginia','All Types of Cancer','2017','Female','Black','374.3','3690','912228'
'District of Columbia','All Types of Cancer','2017','Female','Black','414.2','926','184014'
'Missouri','All Types of Cancer','2017','Female','Black','437.5','1778','401583'
'Mississippi','All Types of Cancer','2017','Female','Black','393.5','2424','606122'
'West Virginia','All Types of Cancer','2017','Female','Black','333','119','34448'
'Tennessee','All Types of Cancer','2017','Female','Black','379.9','2377','625403'
'Minnesota','All Types of Cancer','2017','Female','Black','421.7','501','199764'
'Oklahoma','All Types of Cancer','2017','Female','Black','349.8','531','174827'
'Florida','All Types of Cancer','2017','Female','Black','345.3','6512','1900749'
'Wisconsin','All Types of Cancer','2017','Female','Black','435.2','738','214825'
'Arkansas','All Types of Cancer','2017','Female','Black','388.7','998','254993'
'Kansas','All Types of Cancer','2017','Female','Black','412.4','354','99900'
'North Carolina','All Types of Cancer','2017','Female','Black','389.6','5322','1255732'
'South Dakota','All Types of Cancer','2017','Female','Black','Data Suppressed','Data Suppressed','10125'
'Hawaii','All Types of Cancer','2017','Female','Black','319.7','33','17766'
'Pennsylvania','All Types of Cancer','2017','Female','Black','425.6','3584','836098'
'Kentucky','All Types of Cancer','2017','Female','Black','437.7','856','201195'
'Maine','All Types of Cancer','2017','Female','Black','245.9','16','11896'
'South Carolina','All Types of Cancer','2017','Female','Black','378.4','3142','748053'
'Alabama','All Types of Cancer','2017','Female','Black','371.1','2822','712327'
'Vermont','All Types of Cancer','2017','Female','Black','Data Suppressed','Data Suppressed','4882'
'Arizona','All Types of Cancer','2017','Female','Black','287.4','443','193417'
'Washington','All Types of Cancer','2017','Female','Black','396.1','515','182203'
'Ohio','All Types of Cancer','2017','Female','Black','395.7','3356','838662'
'North Dakota','All Types of Cancer','2017','Female','Black','Data Suppressed','Data Suppressed','11388'
'New Jersey','All Types of Cancer','2017','Female','Black','398.8','3129','731370'
'Delaware','All Types of Cancer','2017','Female','Black','380.7','483','120822'
'New Hampshire','All Types of Cancer','2017','Female','Black','203.8','16','11996'
'Nebraska','All Types of Cancer','2017','Female','Black','430.1','168','53932'
'New York','All Types of Cancer','2017','Female','Black','383.2','8323','1933868'
'Iowa','All Types of Cancer','2017','Female','Black','455.4','171','66894'
'Illinois','All Types of Cancer','2017','Female','Black','425.2','4769','1029536'
'Indiana','All Types of Cancer','2017','Female','Black','343.8','1139','363034'
'Louisiana','All Types of Cancer','2017','Female','Black','416.4','3460','817356'
'Massachusetts','All Types of Cancer','2017','Female','Black','341.5','1049','335860'
'Michigan','All Types of Cancer','2017','Female','Black','375.4','3111','781982'
'Connecticut','All Types of Cancer','2017','Female','Black','371.1','858','236391'
