Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Wyoming','All Types of Cancer','2017','Male','Black','Data Suppressed','Data Suppressed','5761'
'Nevada','All Types of Cancer','2017','Male','Black','407.6','509','162631'
'Rhode Island','All Types of Cancer','2017','Male','Black','354.7','131','48603'
'Colorado','All Types of Cancer','2017','Male','Black','383.2','414','156854'
'Georgia','All Types of Cancer','2017','Male','Black','558.1','7359','1611647'
'Montana','All Types of Cancer','2017','Male','Black','Data Suppressed','Data Suppressed','5785'
'Texas','All Types of Cancer','2017','Male','Black','499.8','6930','1806387'
'Maryland','All Types of Cancer','2017','Male','Black','486.3','4115','897923'
'Idaho','All Types of Cancer','2017','Male','Black','Data Suppressed','18','11731'
'New Mexico','All Types of Cancer','2017','Male','Black','348.1','96','34631'
'Utah','All Types of Cancer','2017','Male','Black','420.3','58','31239'
'California','All Types of Cancer','2017','Male','Black','425.8','5340','1407165'
'Alaska','All Types of Cancer','2017','Male','Black','389.9','42','20153'
'Oregon','All Types of Cancer','2017','Male','Black','499.3','205','62524'
'Virginia','All Types of Cancer','2017','Male','Black','482.3','3780','845662'
'District of Columbia','All Types of Cancer','2017','Male','Black','492','783','153111'
'Missouri','All Types of Cancer','2017','Male','Black','521.2','1573','366795'
'Mississippi','All Types of Cancer','2017','Male','Black','582.7','2846','539255'
'West Virginia','All Types of Cancer','2017','Male','Black','488.2','180','40329'
'Tennessee','All Types of Cancer','2017','Male','Black','559.6','2625','563201'
'Minnesota','All Types of Cancer','2017','Male','Black','520.2','543','208605'
'Oklahoma','All Types of Cancer','2017','Male','Black','453.4','599','175786'
'Florida','All Types of Cancer','2017','Male','Black','407.4','6144','1773687'
'Arkansas','All Types of Cancer','2017','Male','Black','575.4','1188','232825'
'Kansas','All Types of Cancer','2017','Male','Black','477.3','375','106647'
'North Carolina','All Types of Cancer','2017','Male','Black','518.9','5375','1110625'
'South Dakota','All Types of Cancer','2017','Male','Black','Data Suppressed','16','13643'
'Hawaii','All Types of Cancer','2017','Male','Black','369','56','25485'
'Pennsylvania','All Types of Cancer','2017','Male','Black','506.4','3228','781689'
'Kentucky','All Types of Cancer','2017','Male','Black','505.4','803','199707'
'Maine','All Types of Cancer','2017','Male','Black','410','32','14014'
'South Carolina','All Types of Cancer','2017','Male','Black','481.6','3141','660342'
'Alabama','All Types of Cancer','2017','Male','Black','527.6','3125','621748'
'Vermont','All Types of Cancer','2017','Male','Black','Data Suppressed','Data Suppressed','6047'
'Washington','All Types of Cancer','2017','Male','Black','435.9','615','207894'
'Ohio','All Types of Cancer','2017','Male','Black','500.6','3373','776427'
'North Dakota','All Types of Cancer','2017','Male','Black','Data Suppressed','17','15668'
'New Jersey','All Types of Cancer','2017','Male','Black','498.1','2888','663368'
'Delaware','All Types of Cancer','2017','Male','Black','512.2','498','108168'
'New Hampshire','All Types of Cancer','2017','Male','Black','413.9','33','15018'
'Nebraska','All Types of Cancer','2017','Male','Black','608.7','213','57276'
'New York','All Types of Cancer','2017','Male','Black','501.5','7871','1700510'
'Iowa','All Types of Cancer','2017','Male','Black','562.9','215','75420'
'Illinois','All Types of Cancer','2017','Male','Black','535.4','4448','917099'
'Wisconsin','All Types of Cancer','2017','Male','Black','608.3','824','208909'
'Indiana','All Types of Cancer','2017','Male','Black','491.8','1244','339896'
'Louisiana','All Types of Cancer','2017','Male','Black','577.4','3879','740130'
'Arizona','All Types of Cancer','2017','Male','Black','358.3','510','205741'
'Massachusetts','All Types of Cancer','2017','Male','Black','444.4','1083','318706'
'Michigan','All Types of Cancer','2017','Male','Black','521.6','3313','711490'
'Connecticut','All Types of Cancer','2017','Male','Black','510.5','885','216812'
