Area,County,CancerType,Year,Sex,AgeAdjustedRate,DeathCount,Population
'California','Sierra County','All Types of Cancer','2013-2017','Male and Female','113.0','36','14971'
'California','Mono County','All Types of Cancer','2013-2017','Male and Female','88.5','65','70696'
'California','Colusa County','All Types of Cancer','2013-2017','Male and Female','136.4','157','106960'
'California','Modoc County','All Types of Cancer','2013-2017','Male and Female','156.6','121','45060'
'California','Mariposa County','All Types of Cancer','2013-2017','Male and Female','144.5','226','88035'
'California','Trinity County','All Types of Cancer','2013-2017','Male and Female','140.8','163','65200'
'California','El Dorado County','All Types of Cancer','2013-2017','Male and Female','139.6','1827','924122'
'California','Merced County','All Types of Cancer','2013-2017','Male and Female','159.6','1832','1332809'
'California','Glenn County','All Types of Cancer','2013-2017','Male and Female','164.7','269','139266'
'California','Imperial County','All Types of Cancer','2013-2017','Male and Female','127.4','1097','895859'
'California','Lassen County','All Types of Cancer','2013-2017','Male and Female','139.3','235','157248'
'California','Amador County','All Types of Cancer','2013-2017','Male and Female','148.9','509','186389'
'California','Calaveras County','All Types of Cancer','2013-2017','Male and Female','152.3','622','225235'
'California','Del Norte County','All Types of Cancer','2013-2017','Male and Female','164.7','290','137111'
'California','Humboldt County','All Types of Cancer','2013-2017','Male and Female','167.0','1384','676876'
'California','Alpine County','All Types of Cancer','2013-2017','Male and Female','Data Suppressed','Data Suppressed','5474'
'California','Mendocino County','All Types of Cancer','2013-2017','Male and Female','158.9','993','436581'
'California','Nevada County','All Types of Cancer','2013-2017','Male and Female','140.7','1200','493717'
'California','San Francisco County','All Types of Cancer','2013-2017','Male and Female','132.7','6862','4306754'
'California','Tuolumne County','All Types of Cancer','2013-2017','Male and Female','156.3','726','269121'
'California','Plumas County','All Types of Cancer','2013-2017','Male and Female','163.3','278','93585'
'California','Alameda County','All Types of Cancer','2013-2017','Male and Female','134.9','11470','8131992'
'California','Monterey County','All Types of Cancer','2013-2017','Male and Female','130.2','2813','2157519'
'California','Contra Costa County','All Types of Cancer','2013-2017','Male and Female','139.3','9043','5609779'
'California','San Diego County','All Types of Cancer','2013-2017','Male and Female','146.5','25177','16382050'
'California','Lake County','All Types of Cancer','2013-2017','Male and Female','189.8','936','320167'
'California','Inyo County','All Types of Cancer','2013-2017','Male and Female','154.1','228','90798'
'California','Tehama County','All Types of Cancer','2013-2017','Male and Female','161.8','697','315846'
'California','San Benito County','All Types of Cancer','2013-2017','Male and Female','128.0','375','292811'
'California','Kern County','All Types of Cancer','2013-2017','Male and Female','156.7','5758','4381060'
'California','Orange County','All Types of Cancer','2013-2017','Male and Female','133.8','23002','15742950'
'California','Los Angeles County','All Types of Cancer','2013-2017','Male and Female','138.8','71886','50382849'
'California','Kings County','All Types of Cancer','2013-2017','Male and Female','155.8','924','749423'
'California','Fresno County','All Types of Cancer','2013-2017','Male and Female','145.0','6516','4848280'
'California','Butte County','All Types of Cancer','2013-2017','Male and Female','167.6','2469','1125782'
'California','San Bernardino County','All Types of Cancer','2013-2017','Male and Female','159.6','14811','10589335'
'California','Ventura County','All Types of Cancer','2013-2017','Male and Female','141.2','6678','4228192'
'California','Marin County','All Types of Cancer','2013-2017','Male and Female','116.6','2328','1300262'
'California','Riverside County','All Types of Cancer','2013-2017','Male and Female','146.1','18138','11753713'
'California','San Luis Obispo County','All Types of Cancer','2013-2017','Male and Female','139.0','2658','1399014'
'California','San Joaquin County','All Types of Cancer','2013-2017','Male and Female','161.4','5631','3610788'
'California','Placer County','All Types of Cancer','2013-2017','Male and Female','144.7','3707','1872682'
'California','Sacramento County','All Types of Cancer','2013-2017','Male and Female','159.2','12503','7466890'
'California','Shasta County','All Types of Cancer','2013-2017','Male and Female','184.7','2394','893787'
'California','Solano County','All Types of Cancer','2013-2017','Male and Female','166.6','4053','2169789'
'California','San Mateo County','All Types of Cancer','2013-2017','Male and Female','124.1','5709','3809142'
'California','Santa Cruz County','All Types of Cancer','2013-2017','Male and Female','130.6','1994','1363512'
'California','Napa County','All Types of Cancer','2013-2017','Male and Female','154.3','1475','702940'
'California','Yolo County','All Types of Cancer','2013-2017','Male and Female','145.9','1432','1060845'
'California','Sutter County','All Types of Cancer','2013-2017','Male and Female','150.9','834','477099'
'California','Santa Barbara County','All Types of Cancer','2013-2017','Male and Female','137.2','3445','2206984'
'California','Yuba County','All Types of Cancer','2013-2017','Male and Female','197.3','687','372536'
'California','Siskiyou County','All Types of Cancer','2013-2017','Male and Female','173.0','633','217510'
'California','Santa Clara County','All Types of Cancer','2013-2017','Male and Female','123.5','12155','9540731'
'California','Sonoma County','All Types of Cancer','2013-2017','Male and Female','146.7','4866','2500887'
'California','Tulare County','All Types of Cancer','2013-2017','Male and Female','141.7','2811','2289294'
'California','Madera County','All Types of Cancer','2013-2017','Male and Female','150.7','1166','768863'
'California','Stanislaus County','All Types of Cancer','2013-2017','Male and Female','170.2','4474','2670411'
