Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Montana','All Types of Cancer','2017','Male and Female','Hispanic','350.5','85','40849'
'Oregon','All Types of Cancer','2017','Male and Female','Hispanic','313.6','899','540313'
'Mississippi','All Types of Cancer','2017','Male and Female','Hispanic','243.3','127','96680'
'West Virginia','All Types of Cancer','2017','Male and Female','Hispanic','212.4','44','29262'
'Wyoming','All Types of Cancer','2017','Male and Female','Hispanic','314.2','125','57792'
'Nevada','All Types of Cancer','2017','Male and Female','Hispanic','294.5','1588','854886'
'Rhode Island','All Types of Cancer','2017','Male and Female','Hispanic','307.5','310','163315'
'Colorado','All Types of Cancer','2017','Male and Female','Hispanic','346.1','2796','1209285'
'Georgia','All Types of Cancer','2017','Male and Female','Hispanic','386.3','1883','997780'
'Texas','All Types of Cancer','2017','Male and Female','Hispanic','332.2','26170','11154113'
'Maryland','All Types of Cancer','2017','Male and Female','Hispanic','229.5','834','607798'
'Idaho','All Types of Cancer','2017','Male and Female','Hispanic','312.8','362','216125'
'Washington','All Types of Cancer','2017','Male and Female','Hispanic','332.1','1586','943301'
'New Mexico','All Types of Cancer','2017','Male and Female','Hispanic','335','3210','1022174'
'Utah','All Types of Cancer','2017','Male and Female','Hispanic','363.4','822','435928'
'California','All Types of Cancer','2017','Male and Female','Hispanic','324','36010','15395587'
'Alaska','All Types of Cancer','2017','Male and Female','Hispanic','347.1','87','53075'
'Virginia','All Types of Cancer','2017','Male and Female','Hispanic','248.5','1152','795801'
'District of Columbia','All Types of Cancer','2017','Male and Female','Hispanic','295.9','146','77044'
'Missouri','All Types of Cancer','2017','Male and Female','Hispanic','290','415','256271'
'Delaware','All Types of Cancer','2017','Male and Female','Hispanic','Data Suppressed','Data Suppressed','88702'
'Tennessee','All Types of Cancer','2017','Male and Female','Hispanic','325.3','555','366100'
'Nebraska','All Types of Cancer','2017','Male and Female','Hispanic','328.1','349','209812'
'Minnesota','All Types of Cancer','2017','Male and Female','Hispanic','377.9','534','301006'
'Oklahoma','All Types of Cancer','2017','Male and Female','Hispanic','301.5','629','419270'
'Arkansas','All Types of Cancer','2017','Male and Female','Hispanic','319','338','227004'
'Iowa','All Types of Cancer','2017','Male and Female','Hispanic','280','275','189284'
'Florida','All Types of Cancer','2017','Male and Female','Hispanic','355.5','18966','5373742'
'Wisconsin','All Types of Cancer','2017','Male and Female','Hispanic','333','663','394097'
'Kansas','All Types of Cancer','2017','Male and Female','Hispanic','337.7','641','346375'
'North Carolina','All Types of Cancer','2017','Male and Female','Hispanic','257.1','1167','964994'
'South Dakota','All Types of Cancer','2017','Male and Female','Hispanic','249.6','36','34633'
'Kentucky','All Types of Cancer','2017','Male and Female','Hispanic','Data Suppressed','Data Suppressed','164968'
'Pennsylvania','All Types of Cancer','2017','Male and Female','Hispanic','383.4','2141','936811'
'Hawaii','All Types of Cancer','2017','Male and Female','Hispanic','540.5','380','144148'
'Alabama','All Types of Cancer','2017','Male and Female','Hispanic','259.9','280','210912'
'Maine','All Types of Cancer','2017','Male and Female','Hispanic','280.4','38','22143'
'South Carolina','All Types of Cancer','2017','Male and Female','Hispanic','225.1','360','285054'
'Louisiana','All Types of Cancer','2017','Male and Female','Hispanic','197.9','355','239884'
'Vermont','All Types of Cancer','2017','Male and Female','Hispanic','298.6','21','12113'
'Arizona','All Types of Cancer','2017','Male and Female','Hispanic','299','4504','2212922'
'Ohio','All Types of Cancer','2017','Male and Female','Hispanic','295.4','765','444657'
'North Dakota','All Types of Cancer','2017','Male and Female','Hispanic','317.3','32','28376'
'New Jersey','All Types of Cancer','2017','Male and Female','Hispanic','322.6','4545','1800000'
'New Hampshire','All Types of Cancer','2017','Male and Female','Hispanic','315.7','93','50332'
'New York','All Types of Cancer','2017','Male and Female','Hispanic','382','12206','3731762'
'Illinois','All Types of Cancer','2017','Male and Female','Hispanic','354.6','5032','2194301'
'Indiana','All Types of Cancer','2017','Male and Female','Hispanic','280.5','709','462346'
'Massachusetts','All Types of Cancer','2017','Male and Female','Hispanic','Data Suppressed','Data Suppressed','815726'
'Michigan','All Types of Cancer','2017','Male and Female','Hispanic','291.3','894','508526'
'Connecticut','All Types of Cancer','2017','Male and Female','Hispanic','427.4','1657','573610'
