Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Idaho','All Types of Cancer','2017','Female','Hispanic','302.7','191','104648'
'Wyoming','All Types of Cancer','2017','Female','Hispanic','295.8','61','27378'
'Montana','All Types of Cancer','2017','Female','Hispanic','300.2','38','19739'
'Alaska','All Types of Cancer','2017','Female','Hispanic','295.6','40','25145'
'Mississippi','All Types of Cancer','2017','Female','Hispanic','181.9','49','42592'
'Nevada','All Types of Cancer','2017','Female','Hispanic','301.1','873','421331'
'Rhode Island','All Types of Cancer','2017','Female','Hispanic','323.4','185','81174'
'Colorado','All Types of Cancer','2017','Female','Hispanic','359.8','1556','593213'
'Georgia','All Types of Cancer','2017','Female','Hispanic','387.2','1031','476369'
'Texas','All Types of Cancer','2017','Female','Hispanic','318.4','13613','5538946'
'Maryland','All Types of Cancer','2017','Female','Hispanic','239.5','475','292278'
'Washington','All Types of Cancer','2017','Female','Hispanic','336.4','856','455478'
'New Mexico','All Types of Cancer','2017','Female','Hispanic','348.5','1756','514808'
'Utah','All Types of Cancer','2017','Female','Hispanic','374.5','459','212408'
'California','All Types of Cancer','2017','Female','Hispanic','323.8','19622','7650596'
'Oregon','All Types of Cancer','2017','Female','Hispanic','324','495','260763'
'Virginia','All Types of Cancer','2017','Female','Hispanic','259.6','676','385101'
'District of Columbia','All Types of Cancer','2017','Female','Hispanic','319.9','84','37925'
'Missouri','All Types of Cancer','2017','Female','Hispanic','283.5','210','123722'
'West Virginia','All Types of Cancer','2017','Female','Hispanic','280.5','28','13535'
'Delaware','All Types of Cancer','2017','Female','Hispanic','Data Suppressed','Data Suppressed','43435'
'Tennessee','All Types of Cancer','2017','Female','Hispanic','317.8','276','172806'
'Nebraska','All Types of Cancer','2017','Female','Hispanic','342','192','100290'
'Minnesota','All Types of Cancer','2017','Female','Hispanic','359.7','279','144743'
'Oklahoma','All Types of Cancer','2017','Female','Hispanic','328.4','352','200410'
'Arkansas','All Types of Cancer','2017','Female','Hispanic','326.3','177','108086'
'Iowa','All Types of Cancer','2017','Female','Hispanic','255.2','128','90770'
'Florida','All Types of Cancer','2017','Female','Hispanic','342.9','10032','2720191'
'Wisconsin','All Types of Cancer','2017','Female','Hispanic','338.7','356','190912'
'Kansas','All Types of Cancer','2017','Female','Hispanic','335.4','333','167214'
'North Carolina','All Types of Cancer','2017','Female','Hispanic','272','648','464674'
'South Dakota','All Types of Cancer','2017','Female','Hispanic','Data Suppressed','23','15643'
'Kentucky','All Types of Cancer','2017','Female','Hispanic','Data Suppressed','Data Suppressed','75902'
'Pennsylvania','All Types of Cancer','2017','Female','Hispanic','375.8','1163','459678'
'Hawaii','All Types of Cancer','2017','Female','Hispanic','559.2','218','70162'
'Alabama','All Types of Cancer','2017','Female','Hispanic','227.8','127','98890'
'Maine','All Types of Cancer','2017','Female','Hispanic','269.3','20','10903'
'South Carolina','All Types of Cancer','2017','Female','Hispanic','204.5','174','133719'
'Louisiana','All Types of Cancer','2017','Female','Hispanic','192.9','175','111721'
'Vermont','All Types of Cancer','2017','Female','Hispanic','Data Suppressed','Data Suppressed','5895'
'Arizona','All Types of Cancer','2017','Female','Hispanic','298.3','2445','1099623'
'Ohio','All Types of Cancer','2017','Female','Hispanic','276.1','388','216338'
'North Dakota','All Types of Cancer','2017','Female','Hispanic','Data Suppressed','Data Suppressed','13187'
'New Jersey','All Types of Cancer','2017','Female','Hispanic','306.5','2368','898356'
'New Hampshire','All Types of Cancer','2017','Female','Hispanic','285.5','48','24554'
'New York','All Types of Cancer','2017','Female','Hispanic','360.3','6435','1891922'
'Illinois','All Types of Cancer','2017','Female','Hispanic','353.8','2654','1071051'
'Indiana','All Types of Cancer','2017','Female','Hispanic','305.4','407','223241'
'Massachusetts','All Types of Cancer','2017','Female','Hispanic','Data Suppressed','Data Suppressed','410624'
'Michigan','All Types of Cancer','2017','Female','Hispanic','270','440','249891'
'Connecticut','All Types of Cancer','2017','Female','Hispanic','417.4','906','288152'
