Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Oregon','All Types of Cancer','2017','Male','Hispanic','310.7','404','279550'
'West Virginia','All Types of Cancer','2017','Male','Hispanic','155.5','16','15727'
'Wyoming','All Types of Cancer','2017','Male','Hispanic','339.9','64','30414'
'Nevada','All Types of Cancer','2017','Male','Hispanic','293.4','715','433555'
'Rhode Island','All Types of Cancer','2017','Male','Hispanic','297.7','125','82141'
'Colorado','All Types of Cancer','2017','Male','Hispanic','338','1240','616072'
'Georgia','All Types of Cancer','2017','Male','Hispanic','400.9','852','521411'
'Montana','All Types of Cancer','2017','Male','Hispanic','400.7','47','21110'
'Texas','All Types of Cancer','2017','Male','Hispanic','357.1','12557','5615167'
'Maryland','All Types of Cancer','2017','Male','Hispanic','226.4','359','315520'
'Idaho','All Types of Cancer','2017','Male','Hispanic','332.5','171','111477'
'Washington','All Types of Cancer','2017','Male','Hispanic','336.6','730','487823'
'New Mexico','All Types of Cancer','2017','Male','Hispanic','324.1','1454','507366'
'Utah','All Types of Cancer','2017','Male','Hispanic','362.2','363','223520'
'California','All Types of Cancer','2017','Male','Hispanic','334.5','16388','7744991'
'Alaska','All Types of Cancer','2017','Male','Hispanic','401.6','47','27930'
'Virginia','All Types of Cancer','2017','Male','Hispanic','248.2','476','410700'
'District of Columbia','All Types of Cancer','2017','Male','Hispanic','290.9','62','39119'
'Missouri','All Types of Cancer','2017','Male','Hispanic','300.5','205','132549'
'Mississippi','All Types of Cancer','2017','Male','Hispanic','316.9','78','54088'
'Delaware','All Types of Cancer','2017','Male','Hispanic','Data Suppressed','Data Suppressed','45267'
'Tennessee','All Types of Cancer','2017','Male','Hispanic','335.4','279','193294'
'Nebraska','All Types of Cancer','2017','Male','Hispanic','324.9','157','109522'
'Minnesota','All Types of Cancer','2017','Male','Hispanic','408','255','156263'
'Oklahoma','All Types of Cancer','2017','Male','Hispanic','280.3','277','218860'
'Arkansas','All Types of Cancer','2017','Male','Hispanic','315.1','161','118918'
'Iowa','All Types of Cancer','2017','Male','Hispanic','306.9','147','98514'
'Florida','All Types of Cancer','2017','Male','Hispanic','384.1','8934','2653551'
'Wisconsin','All Types of Cancer','2017','Male','Hispanic','336.4','307','203185'
'Kansas','All Types of Cancer','2017','Male','Hispanic','348','308','179161'
'North Carolina','All Types of Cancer','2017','Male','Hispanic','245','519','500320'
'South Dakota','All Types of Cancer','2017','Male','Hispanic','Data Suppressed','Data Suppressed','18990'
'Kentucky','All Types of Cancer','2017','Male','Hispanic','Data Suppressed','Data Suppressed','89066'
'Hawaii','All Types of Cancer','2017','Male','Hispanic','529.6','162','73986'
'Pennsylvania','All Types of Cancer','2017','Male','Hispanic','403.5','978','477133'
'Alabama','All Types of Cancer','2017','Male','Hispanic','298.5','153','112022'
'Maine','All Types of Cancer','2017','Male','Hispanic','288.6','18','11240'
'South Carolina','All Types of Cancer','2017','Male','Hispanic','253.8','186','151335'
'Louisiana','All Types of Cancer','2017','Male','Hispanic','211.2','180','128163'
'Vermont','All Types of Cancer','2017','Male','Hispanic','Data Suppressed','Data Suppressed','6218'
'Arizona','All Types of Cancer','2017','Male','Hispanic','307.2','2059','1113299'
'Ohio','All Types of Cancer','2017','Male','Hispanic','327.4','377','228319'
'North Dakota','All Types of Cancer','2017','Male','Hispanic','Data Suppressed','17','15189'
'New Jersey','All Types of Cancer','2017','Male','Hispanic','352.1','2177','901644'
'New Hampshire','All Types of Cancer','2017','Male','Hispanic','366.7','45','25778'
'New York','All Types of Cancer','2017','Male','Hispanic','423.6','5771','1839840'
'Illinois','All Types of Cancer','2017','Male','Hispanic','363.6','2378','1123250'
'Indiana','All Types of Cancer','2017','Male','Hispanic','264.3','302','239105'
'Massachusetts','All Types of Cancer','2017','Male','Hispanic','Data Suppressed','Data Suppressed','405102'
'Michigan','All Types of Cancer','2017','Male','Hispanic','322.3','454','258635'
'Connecticut','All Types of Cancer','2017','Male','Hispanic','449.1','751','285458'
