Area,County,CancerType,Year,Sex,AgeAdjustedRate,DeathCount,Population
'Oregon','Gilliam County','All Types of Cancer','2013-2017','Male and Female','121.8','21','9463'
'Oregon','Sherman County','All Types of Cancer','2013-2017','Male and Female','161.6','24','8578'
'Oregon','Grant County','All Types of Cancer','2013-2017','Male and Female','115.8','81','36008'
'Oregon','Harney County','All Types of Cancer','2013-2017','Male and Female','131.3','82','35969'
'Oregon','Wallowa County','All Types of Cancer','2013-2017','Male and Female','127.2','83','34306'
'Oregon','Wheeler County','All Types of Cancer','2013-2017','Male and Female','195.9','27','6729'
'Oregon','Crook County','All Types of Cancer','2013-2017','Male and Female','175.3','312','108520'
'Oregon','Lake County','All Types of Cancer','2013-2017','Male and Female','163.0','106','39135'
'Oregon','Coos County','All Types of Cancer','2013-2017','Male and Female','195.3','1069','314529'
'Oregon','Columbia County','All Types of Cancer','2013-2017','Male and Female','172.4','578','251145'
'Oregon','Douglas County','All Types of Cancer','2013-2017','Male and Female','185.6','1734','537936'
'Oregon','Deschutes County','All Types of Cancer','2013-2017','Male and Female','139.2','1609','876500'
'Oregon','Jefferson County','All Types of Cancer','2013-2017','Male and Female','159.7','235','113395'
'Oregon','Curry County','All Types of Cancer','2013-2017','Male and Female','184.1','448','111948'
'Oregon','Linn County','All Types of Cancer','2013-2017','Male and Female','179.1','1432','605430'
'Oregon','Umatilla County','All Types of Cancer','2013-2017','Male and Female','169.9','747','383867'
'Oregon','Klamath County','All Types of Cancer','2013-2017','Male and Female','176.7','830','329577'
'Oregon','Marion County','All Types of Cancer','2013-2017','Male and Female','168.1','3175','1652473'
'Oregon','Baker County','All Types of Cancer','2013-2017','Male and Female','166.9','235','79930'
'Oregon','Benton County','All Types of Cancer','2013-2017','Male and Female','133.5','659','442969'
'Oregon','Lane County','All Types of Cancer','2013-2017','Male and Female','160.1','3877','1820307'
'Oregon','Union County','All Types of Cancer','2013-2017','Male and Female','157.8','289','129204'
'Oregon','Tillamook County','All Types of Cancer','2013-2017','Male and Female','174.2','367','128940'
'Oregon','Lincoln County','All Types of Cancer','2013-2017','Male and Female','175.9','732','236338'
'Oregon','Clatsop County','All Types of Cancer','2013-2017','Male and Female','176.9','500','190150'
'Oregon','Josephine County','All Types of Cancer','2013-2017','Male and Female','181.0','1366','423133'
'Oregon','Clackamas County','All Types of Cancer','2013-2017','Male and Female','150.6','3785','2000273'
'Oregon','Malheur County','All Types of Cancer','2013-2017','Male and Female','185.2','345','152083'
'Oregon','Hood River County','All Types of Cancer','2013-2017','Male and Female','158.3','213','114823'
'Oregon','Wasco County','All Types of Cancer','2013-2017','Male and Female','185.3','345','128155'
'Oregon','Yamhill County','All Types of Cancer','2013-2017','Male and Female','162.8','1039','511974'
'Oregon','Jackson County','All Types of Cancer','2013-2017','Male and Female','163.6','2617','1058945'
'Oregon','Multnomah County','All Types of Cancer','2013-2017','Male and Female','161.4','6297','3948005'
'Oregon','Morrow County','All Types of Cancer','2013-2017','Male and Female','157.1','106','55909'
'Oregon','Washington County','All Types of Cancer','2013-2017','Male and Female','136.1','3789','2866815'
'Oregon','Polk County','All Types of Cancer','2013-2017','Male and Female','150.7','762','398467'
