Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'Washington','Garfield County','All Types of Cancer','2013-2017','Male and Female','255.7','50','11110'
'Washington','Whitman County','All Types of Cancer','2013-2017','Male and Female','285.9','540','239965'
'Washington','Asotin County','All Types of Cancer','2013-2017','Male and Female','327.5','560','111205'
'Washington','Ferry County','All Types of Cancer','2013-2017','Male and Female','298.6','185','37821'
'Washington','Adams County','All Types of Cancer','2013-2017','Male and Female','342.4','293','96618'
'Washington','San Juan County','All Types of Cancer','2013-2017','Male and Female','404.9','646','81146'
'Washington','Douglas County','All Types of Cancer','2013-2017','Male and Female','453.6','1132','203347'
'Washington','Cowlitz County','All Types of Cancer','2013-2017','Male and Female','451.4','3083','518058'
'Washington','Kittitas County','All Types of Cancer','2013-2017','Male and Female','360.6','893','218589'
'Washington','Lincoln County','All Types of Cancer','2013-2017','Male and Female','356.0','309','51732'
'Washington','Grant County','All Types of Cancer','2013-2017','Male and Female','419.8','1996','468720'
'Washington','Benton County','All Types of Cancer','2013-2017','Male and Female','419.5','4352','953318'
'Washington','Pend Oreille County','All Types of Cancer','2013-2017','Male and Female','362.5','392','65375'
'Washington','Lewis County','All Types of Cancer','2013-2017','Male and Female','427.4','2320','380096'
'Washington','Okanogan County','All Types of Cancer','2013-2017','Male and Female','453.2','1356','207122'
'Washington','Jefferson County','All Types of Cancer','2013-2017','Male and Female','483.5','1532','152548'
'Washington','Spokane County','All Types of Cancer','2013-2017','Male and Female','399.6','11464','2453114'
'Washington','Skamania County','All Types of Cancer','2013-2017','Male and Female','380.1','313','57485'
'Washington','Clark County','All Types of Cancer','2013-2017','Male and Female','417.8','10682','2286450'
'Washington','Kitsap County','All Types of Cancer','2013-2017','Male and Female','491.0','7895','1294971'
'Washington','Stevens County','All Types of Cancer','2013-2017','Male and Female','374.1','1224','219074'
'Washington','Yakima County','All Types of Cancer','2013-2017','Male and Female','387.5','4895','1241791'
'Washington','Wahkiakum County','All Types of Cancer','2013-2017','Male and Female','403.7','146','20550'
'Washington','Chelan County','All Types of Cancer','2013-2017','Male and Female','450.5','2188','375511'
'Washington','Pierce County','All Types of Cancer','2013-2017','Male and Female','473.7','21307','4226958'
'Washington','Island County','All Types of Cancer','2013-2017','Male and Female','475.7','2892','401918'
'Washington','King County','All Types of Cancer','2013-2017','Male and Female','442.6','49391','10630665'
'Washington','Franklin County','All Types of Cancer','2013-2017','Male and Female','363.1','1257','445455'
'Washington','Skagit County','All Types of Cancer','2013-2017','Male and Female','476.1','3943','609608'
'Washington','Mason County','All Types of Cancer','2013-2017','Male and Female','488.1','2318','308100'
'Washington','Clallam County','All Types of Cancer','2013-2017','Male and Female','498.5','3238','367752'
'Washington','Grays Harbor County','All Types of Cancer','2013-2017','Male and Female','502.9','2598','356981'
'Washington','Pacific County','All Types of Cancer','2013-2017','Male and Female','405.6','805','104811'
'Washington','Columbia County','All Types of Cancer','2013-2017','Male and Female','469.8','157','19948'
'Washington','Snohomish County','All Types of Cancer','2013-2017','Male and Female','481.4','19824','3862436'
'Washington','Thurston County','All Types of Cancer','2013-2017','Male and Female','470.5','7659','1348790'
'Washington','Whatcom County','All Types of Cancer','2013-2017','Male and Female','474.7','5990','1064481'
'Washington','Walla Walla County','All Types of Cancer','2013-2017','Male and Female','424.6','1584','299636'
'Washington','Klickitat County','All Types of Cancer','2013-2017','Male and Female','414.7','676','105745'
