Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Wyoming','All Types of Cancer','2017','Male and Female','White','414.7','2795','544321'
'Nevada','All Types of Cancer','2017','Male and Female','White','415','11639','2282813'
'Rhode Island','All Types of Cancer','2017','Male and Female','White','427.5','5262','903507'
'Colorado','All Types of Cancer','2017','Male and Female','White','388','21933','4988145'
'Georgia','All Types of Cancer','2017','Male and Female','White','470.2','36942','6436223'
'Montana','All Types of Cancer','2017','Male and Female','White','456.9','5970','954366'
'Texas','All Types of Cancer','2017','Male and Female','White','402.8','96062','22731367'
'Maryland','All Types of Cancer','2017','Male and Female','White','456.8','21564','3632537'
'Idaho','All Types of Cancer','2017','Male and Female','White','432.4','8275','1628135'
'New Mexico','All Types of Cancer','2017','Male and Female','White','360','8133','1744608'
'Utah','All Types of Cancer','2017','Male and Female','White','393.5','10268','2866343'
'California','All Types of Cancer','2017','Male and Female','White','403','132482','29289341'
'Alaska','All Types of Cancer','2017','Male and Female','White','393.3','2150','512003'
'Oregon','All Types of Cancer','2017','Male and Female','White','412.2','20019','3699129'
'Virginia','All Types of Cancer','2017','Male and Female','White','392.7','29791','6028786'
'District of Columbia','All Types of Cancer','2017','Male and Female','White','338.2','897','319646'
'Missouri','All Types of Cancer','2017','Male and Female','White','450.7','30322','5148193'
'Mississippi','All Types of Cancer','2017','Male and Female','White','464.2','11148','1788864'
'West Virginia','All Types of Cancer','2017','Male and Female','White','484.3','11722','1720230'
'Tennessee','All Types of Cancer','2017','Male and Female','White','458','31906','5345951'
'Minnesota','All Types of Cancer','2017','Male and Female','White','470.7','28849','4773182'
'Oklahoma','All Types of Cancer','2017','Male and Female','White','413.8','16150','3053544'
'Florida','All Types of Cancer','2017','Male and Female','White','420.7','105311','16489706'
'Arkansas','All Types of Cancer','2017','Male and Female','White','461.1','14652','2418213'
'Kansas','All Types of Cancer','2017','Male and Female','White','438.2','13729','2561300'
'North Carolina','All Types of Cancer','2017','Male and Female','White','451.6','43549','7384159'
'South Dakota','All Types of Cancer','2017','Male and Female','White','451.3','4434','749508'
'Hawaii','All Types of Cancer','2017','Male and Female','White','460.9','2341','360604'
'Pennsylvania','All Types of Cancer','2017','Male and Female','White','467.8','69611','10624947'
'Kentucky','All Types of Cancer','2017','Male and Female','White','509.2','25436','3959505'
'Maine','All Types of Cancer','2017','Male and Female','White','470','8843','1279536'
'South Carolina','All Types of Cancer','2017','Male and Female','White','438','20980','3484446'
'Alabama','All Types of Cancer','2017','Male and Female','White','439.3','20210','3420990'
'Vermont','All Types of Cancer','2017','Male and Female','White','455.6','3818','597685'
'Washington','All Types of Cancer','2017','Male and Female','White','435.9','32775','6072697'
'Ohio','All Types of Cancer','2017','Male and Female','White','455.9','58546','9702563'
'North Dakota','All Types of Cancer','2017','Male and Female','White','450.4','3632','669116'
'New Jersey','All Types of Cancer','2017','Male and Female','White','492.4','42503','6521957'
'Delaware','All Types of Cancer','2017','Male and Female','White','451.9','4465','679733'
'New Hampshire','All Types of Cancer','2017','Male and Female','White','472.8','8257','1274836'
'Nebraska','All Types of Cancer','2017','Male and Female','White','468.8','9814','1719194'
'New York','All Types of Cancer','2017','Male and Female','White','491.9','89109','13908492'
'Iowa','All Types of Cancer','2017','Male and Female','White','477.2','17901','2892857'
'Illinois','All Types of Cancer','2017','Male and Female','White','464.4','57144','9974052'
'Wisconsin','All Types of Cancer','2017','Male and Female','White','444.4','30259','5109192'
'Indiana','All Types of Cancer','2017','Male and Female','White','438.9','31387','5751279'
'Louisiana','All Types of Cancer','2017','Male and Female','White','480.5','18375','2980169'
'Arizona','All Types of Cancer','2017','Male and Female','White','381.4','29697','5947741'
'Massachusetts','All Types of Cancer','2017','Male and Female','White','439.4','32973','5665376'
'Michigan','All Types of Cancer','2017','Male and Female','White','429.6','46152','8037423'
'Connecticut','All Types of Cancer','2017','Male and Female','White','463','18578','2914682'
