Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Wyoming','All Types of Cancer','2017','Female','White','381','1257','266944'
'Nevada','All Types of Cancer','2017','Female','White','405.3','5634','1122077'
'Rhode Island','All Types of Cancer','2017','Female','White','419.5','2742','465133'
'Colorado','All Types of Cancer','2017','Female','White','391.1','11390','2477070'
'Georgia','All Types of Cancer','2017','Female','White','433.4','17649','3243317'
'Montana','All Types of Cancer','2017','Female','White','436.7','2825','473477'
'Texas','All Types of Cancer','2017','Female','White','375','46709','11384669'
'Maryland','All Types of Cancer','2017','Female','White','440.5','10785','1836811'
'Idaho','All Types of Cancer','2017','Female','White','409.3','3936','811999'
'New Mexico','All Types of Cancer','2017','Female','White','355.5','4098','880515'
'Utah','All Types of Cancer','2017','Female','White','362.4','4865','1424174'
'California','All Types of Cancer','2017','Female','White','392.1','66955','14603350'
'Alaska','All Types of Cancer','2017','Female','White','373.5','978','241059'
'Oregon','All Types of Cancer','2017','Female','White','401.3','9963','1865014'
'Virginia','All Types of Cancer','2017','Female','White','379.4','14869','3034055'
'District of Columbia','All Types of Cancer','2017','Female','White','344.4','448','159833'
'Missouri','All Types of Cancer','2017','Female','White','428.9','14998','2609377'
'Mississippi','All Types of Cancer','2017','Female','White','425.2','5218','904602'
'West Virginia','All Types of Cancer','2017','Female','White','460.2','5685','871825'
'Tennessee','All Types of Cancer','2017','Female','White','417.9','15148','2720667'
'Minnesota','All Types of Cancer','2017','Female','White','449.2','14083','2399328'
'Oklahoma','All Types of Cancer','2017','Female','White','398.5','8049','1540667'
'Florida','All Types of Cancer','2017','Female','White','403','51401','8391079'
'Wisconsin','All Types of Cancer','2017','Female','White','424.5','14760','2564960'
'Arkansas','All Types of Cancer','2017','Female','White','418.4','6814','1223504'
'Kansas','All Types of Cancer','2017','Female','White','414.1','6635','1288304'
'North Carolina','All Types of Cancer','2017','Female','White','425','21407','3750779'
'South Dakota','All Types of Cancer','2017','Female','White','433.1','2121','371514'
'Hawaii','All Types of Cancer','2017','Female','White','439.5','994','165666'
'Pennsylvania','All Types of Cancer','2017','Female','White','454.5','35112','5408220'
'Kentucky','All Types of Cancer','2017','Female','White','481.3','12533','2010618'
'Maine','All Types of Cancer','2017','Female','White','454.1','4404','653600'
'South Carolina','All Types of Cancer','2017','Female','White','406.7','10005','1771518'
'Alabama','All Types of Cancer','2017','Female','White','402.7','9499','1741533'
'Vermont','All Types of Cancer','2017','Female','White','435.3','1860','302802'
'Washington','All Types of Cancer','2017','Female','White','423.8','16352','3029164'
'Ohio','All Types of Cancer','2017','Female','White','437.7','29146','4930796'
'North Dakota','All Types of Cancer','2017','Female','White','432.2','1735','327051'
'New Jersey','All Types of Cancer','2017','Female','White','468.2','21275','3319946'
'Delaware','All Types of Cancer','2017','Female','White','420.2','2137','348714'
'New Hampshire','All Types of Cancer','2017','Female','White','442.1','3958','644750'
'Nebraska','All Types of Cancer','2017','Female','White','443.6','4731','862324'
'New York','All Types of Cancer','2017','Female','White','470.9','44703','7080684'
'Iowa','All Types of Cancer','2017','Female','White','449.8','8650','1459129'
'Illinois','All Types of Cancer','2017','Female','White','442.9','28437','5029706'
'Indiana','All Types of Cancer','2017','Female','White','416.9','15561','2910802'
'Louisiana','All Types of Cancer','2017','Female','White','435.2','8553','1504476'
'Arizona','All Types of Cancer','2017','Female','White','364.3','14370','2990997'
'Massachusetts','All Types of Cancer','2017','Female','White','425','16902','2914375'
'Michigan','All Types of Cancer','2017','Female','White','410.8','22644','4056957'
'Connecticut','All Types of Cancer','2017','Female','White','441.9','9269','1488647'
