Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Wyoming','All Types of Cancer','2017','Male','White','454','1538','277377'
'Nevada','All Types of Cancer','2017','Male','White','429.6','6005','1160736'
'Rhode Island','All Types of Cancer','2017','Male','White','446.3','2520','438374'
'Colorado','All Types of Cancer','2017','Male','White','392.6','10543','2511075'
'Georgia','All Types of Cancer','2017','Male','White','522.1','19293','3192906'
'Montana','All Types of Cancer','2017','Male','White','483.2','3145','480889'
'Texas','All Types of Cancer','2017','Male','White','442.8','49353','11346698'
'Maryland','All Types of Cancer','2017','Male','White','485.4','10779','1795726'
'Idaho','All Types of Cancer','2017','Male','White','463.4','4339','816136'
'New Mexico','All Types of Cancer','2017','Male','White','370.1','4035','864093'
'Utah','All Types of Cancer','2017','Male','White','434.4','5403','1442169'
'California','All Types of Cancer','2017','Male','White','424.2','65527','14685991'
'Alaska','All Types of Cancer','2017','Male','White','415.8','1172','270944'
'Oregon','All Types of Cancer','2017','Male','White','430.8','10056','1834115'
'Virginia','All Types of Cancer','2017','Male','White','416','14922','2994731'
'District of Columbia','All Types of Cancer','2017','Male','White','343.1','449','159813'
'Missouri','All Types of Cancer','2017','Male','White','484.2','15324','2538816'
'Mississippi','All Types of Cancer','2017','Male','White','521.2','5930','884262'
'West Virginia','All Types of Cancer','2017','Male','White','519.6','6037','848405'
'Tennessee','All Types of Cancer','2017','Male','White','511.9','16758','2625284'
'Minnesota','All Types of Cancer','2017','Male','White','503.2','14766','2373854'
'Oklahoma','All Types of Cancer','2017','Male','White','438.8','8101','1512877'
'Florida','All Types of Cancer','2017','Male','White','446.7','53910','8098627'
'Arkansas','All Types of Cancer','2017','Male','White','519.4','7838','1194709'
'Kansas','All Types of Cancer','2017','Male','White','474.5','7094','1272996'
'North Carolina','All Types of Cancer','2017','Male','White','492.5','22142','3633380'
'South Dakota','All Types of Cancer','2017','Male','White','479.8','2313','377994'
'Hawaii','All Types of Cancer','2017','Male','White','486.1','1347','194938'
'Pennsylvania','All Types of Cancer','2017','Male','White','494.1','34499','5216727'
'Kentucky','All Types of Cancer','2017','Male','White','552.6','12903','1948887'
'Maine','All Types of Cancer','2017','Male','White','496.4','4439','625936'
'South Carolina','All Types of Cancer','2017','Male','White','480.7','10975','1712928'
'Alabama','All Types of Cancer','2017','Male','White','491.1','10711','1679457'
'Vermont','All Types of Cancer','2017','Male','White','488.3','1958','294883'
'Washington','All Types of Cancer','2017','Male','White','457.8','16423','3043533'
'Ohio','All Types of Cancer','2017','Male','White','487','29400','4771767'
'North Dakota','All Types of Cancer','2017','Male','White','481.5','1897','342065'
'New Jersey','All Types of Cancer','2017','Male','White','533.4','21228','3202011'
'Delaware','All Types of Cancer','2017','Male','White','495.5','2328','331019'
'New Hampshire','All Types of Cancer','2017','Male','White','515.4','4299','630086'
'Nebraska','All Types of Cancer','2017','Male','White','506.4','5083','856870'
'New York','All Types of Cancer','2017','Male','White','528.5','44406','6827808'
'Iowa','All Types of Cancer','2017','Male','White','517.9','9251','1433728'
'Illinois','All Types of Cancer','2017','Male','White','499.7','28707','4944346'
'Wisconsin','All Types of Cancer','2017','Male','White','475.1','15499','2544232'
'Indiana','All Types of Cancer','2017','Male','White','475.1','15826','2840477'
'Louisiana','All Types of Cancer','2017','Male','White','541.7','9822','1475693'
'Arizona','All Types of Cancer','2017','Male','White','405.3','15327','2956744'
'Massachusetts','All Types of Cancer','2017','Male','White','466.2','16071','2751001'
'Michigan','All Types of Cancer','2017','Male','White','459.2','23508','3980466'
'Connecticut','All Types of Cancer','2017','Male','White','497.1','9309','1426035'
